"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",234,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",235,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",236,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",237,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",238,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",239,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",240,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",241,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",242,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",243,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",244,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",245,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",246,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",247,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",248,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",249,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",250,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",251,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",252,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",253,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",254,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",255,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",256,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",257,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",258,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",259,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",260,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",261,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",262,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",263,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",264,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",265,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",266,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",267,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",268,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",269,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",270,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",271,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",272,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",273,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",274,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",275,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",276,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",277,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",278,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",279,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",280,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",281,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",282,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",283,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",284,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",285,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",286,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",287,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",288,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",289,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",290,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",291,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",292,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",293,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",294,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",295,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",296,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",297,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",298,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",299,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",300,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",301,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",302,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",303,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",304,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",305,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",306,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",307,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",308,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",309,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",310,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",311,7.93,0.498,0.00
"Artoo pack 4 cell .5amp discharge",312,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",313,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",314,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",315,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",316,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",317,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",318,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",319,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",320,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",321,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",322,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",323,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",324,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",325,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",326,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",327,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",328,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",329,7.93,0.501,0.00
"Artoo pack 4 cell .5amp discharge",330,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",331,7.93,0.499,0.00
"Artoo pack 4 cell .5amp discharge",332,7.93,0.501,0.00
