Test,Time,Voltage,Current,Temp (C)
2S1P 122mA discharge,408,8.09,0.122,0
2S1P 122mA discharge,409,8.09,0.122,0
2S1P 122mA discharge,410,8.09,0.124,0
2S1P 122mA discharge,411,8.09,0.124,0
2S1P 122mA discharge,412,8.09,0.12,0
2S1P 122mA discharge,413,8.09,0.122,0
2S1P 122mA discharge,414,8.09,0.124,0
2S1P 122mA discharge,415,8.09,0.122,0
2S1P 122mA discharge,416,8.09,0.122,0
2S1P 122mA discharge,417,8.09,0.12,0
2S1P 122mA discharge,418,8.09,0.122,0
2S1P 122mA discharge,419,8.09,0.122,0
2S1P 122mA discharge,420,8.09,0.122,0
2S1P 122mA discharge,421,8.09,0.122,0
2S1P 122mA discharge,422,8.09,0.12,0
2S1P 122mA discharge,423,8.09,0.122,0
2S1P 122mA discharge,424,8.09,0.122,0
2S1P 122mA discharge,425,8.09,0.124,0
2S1P 122mA discharge,426,8.09,0.122,0
2S1P 122mA discharge,427,8.09,0.12,0
2S1P 122mA discharge,428,8.09,0.124,0
2S1P 122mA discharge,429,8.09,0.124,0
2S1P 122mA discharge,430,8.09,0.122,0
2S1P 122mA discharge,431,8.09,0.122,0
2S1P 122mA discharge,432,8.09,0.12,0
2S1P 122mA discharge,433,8.09,0.122,0
2S1P 122mA discharge,434,8.09,0.124,0
2S1P 122mA discharge,435,8.09,0.122,0
2S1P 122mA discharge,436,8.09,0.122,0
2S1P 122mA discharge,437,8.09,0.12,0
2S1P 122mA discharge,438,8.09,0.122,0
2S1P 122mA discharge,439,8.09,0.124,0
2S1P 122mA discharge,440,8.09,0.124,0
2S1P 122mA discharge,441,8.09,0.122,0
2S1P 122mA discharge,442,8.09,0.12,0
2S1P 122mA discharge,443,8.09,0.124,0
2S1P 122mA discharge,444,8.09,0.124,0
2S1P 122mA discharge,445,8.09,0.122,0
2S1P 122mA discharge,446,8.09,0.122,0
2S1P 122mA discharge,447,8.09,0.12,0
2S1P 122mA discharge,448,8.09,0.122,0
2S1P 122mA discharge,449,8.09,0.124,0
2S1P 122mA discharge,450,8.09,0.122,0
2S1P 122mA discharge,451,8.09,0.122,0
2S1P 122mA discharge,452,8.09,0.12,0
2S1P 122mA discharge,453,8.09,0.122,0
2S1P 122mA discharge,454,8.09,0.122,0
2S1P 122mA discharge,455,8.09,0.124,0
2S1P 122mA discharge,456,8.09,0.122,0
2S1P 122mA discharge,457,8.09,0.12,0
2S1P 122mA discharge,458,8.09,0.124,0
2S1P 122mA discharge,459,8.09,0.122,0
2S1P 122mA discharge,460,8.09,0.122,0
2S1P 122mA discharge,461,8.09,0.122,0
2S1P 122mA discharge,462,8.09,0.12,0
2S1P 122mA discharge,463,8.09,0.122,0
2S1P 122mA discharge,464,8.09,0.124,0
2S1P 122mA discharge,465,8.09,0.122,0
2S1P 122mA discharge,466,8.09,0.122,0
2S1P 122mA discharge,467,8.09,0.12,0
2S1P 122mA discharge,468,8.09,0.122,0
2S1P 122mA discharge,469,8.09,0.124,0
2S1P 122mA discharge,470,8.09,0.124,0
2S1P 122mA discharge,471,8.09,0.122,0
2S1P 122mA discharge,472,8.09,0.12,0
2S1P 122mA discharge,473,8.09,0.124,0
2S1P 122mA discharge,474,8.09,0.124,0
2S1P 122mA discharge,475,8.09,0.122,0
2S1P 122mA discharge,476,8.09,0.122,0
2S1P 122mA discharge,477,8.09,0.12,0
2S1P 122mA discharge,478,8.09,0.122,0
2S1P 122mA discharge,479,8.09,0.122,0
2S1P 122mA discharge,480,8.09,0.122,0
2S1P 122mA discharge,481,8.09,0.122,0
2S1P 122mA discharge,482,8.09,0.12,0
2S1P 122mA discharge,483,8.09,0.122,0
2S1P 122mA discharge,484,8.09,0.124,0
2S1P 122mA discharge,485,8.09,0.122,0
2S1P 122mA discharge,486,8.09,0.122,0
2S1P 122mA discharge,487,8.09,0.122,0
2S1P 122mA discharge,488,8.09,0.124,0
2S1P 122mA discharge,489,8.09,0.122,0
2S1P 122mA discharge,490,8.09,0.122,0
2S1P 122mA discharge,491,8.09,0.122,0
2S1P 122mA discharge,492,8.09,0.122,0
2S1P 122mA discharge,493,8.09,0.12,0
2S1P 122mA discharge,494,8.09,0.12,0
2S1P 122mA discharge,495,8.09,0.122,0
2S1P 122mA discharge,496,8.09,0.122,0
2S1P 122mA discharge,497,8.09,0.122,0
2S1P 122mA discharge,498,8.09,0.12,0
2S1P 122mA discharge,499,8.09,0.124,0
2S1P 122mA discharge,500,8.09,0.122,0
2S1P 122mA discharge,501,8.09,0.122,0
2S1P 122mA discharge,502,8.09,0.122,0
2S1P 122mA discharge,503,8.09,0.124,0
2S1P 122mA discharge,504,8.09,0.122,0
2S1P 122mA discharge,505,8.09,0.122,0
2S1P 122mA discharge,506,8.09,0.122,0
2S1P 122mA discharge,507,8.09,0.122,0
2S1P 122mA discharge,508,8.09,0.12,0
2S1P 122mA discharge,509,8.09,0.12,0
2S1P 122mA discharge,510,8.09,0.122,0
2S1P 122mA discharge,511,8.09,0.122,0
2S1P 122mA discharge,512,8.09,0.122,0
2S1P 122mA discharge,513,8.09,0.122,0
2S1P 122mA discharge,514,8.09,0.124,0
2S1P 122mA discharge,515,8.09,0.122,0
2S1P 122mA discharge,516,8.09,0.122,0
2S1P 122mA discharge,517,8.09,0.124,0
2S1P 122mA discharge,518,8.09,0.124,0
2S1P 122mA discharge,519,8.09,0.12,0
2S1P 122mA discharge,520,8.09,0.122,0
2S1P 122mA discharge,521,8.09,0.122,0
2S1P 122mA discharge,522,8.09,0.122,0
2S1P 122mA discharge,523,8.09,0.124,0
2S1P 122mA discharge,524,8.09,0.12,0
2S1P 122mA discharge,525,8.09,0.122,0
2S1P 122mA discharge,526,8.09,0.122,0
2S1P 122mA discharge,527,8.09,0.122,0
2S1P 122mA discharge,528,8.09,0.124,0
2S1P 122mA discharge,529,8.09,0.122,0
2S1P 122mA discharge,530,8.09,0.122,0
2S1P 122mA discharge,531,8.09,0.122,0
2S1P 122mA discharge,532,8.09,0.124,0
2S1P 122mA discharge,533,8.09,0.122,0
2S1P 122mA discharge,534,8.09,0.12,0
2S1P 122mA discharge,535,8.09,0.122,0
2S1P 122mA discharge,536,8.09,0.122,0
2S1P 122mA discharge,537,8.09,0.122,0
2S1P 122mA discharge,538,8.09,0.124,0
2S1P 122mA discharge,539,8.09,0.12,0
2S1P 122mA discharge,540,8.09,0.122,0
2S1P 122mA discharge,541,8.09,0.122,0
2S1P 122mA discharge,542,8.09,0.122,0
2S1P 122mA discharge,543,8.09,0.124,0
2S1P 122mA discharge,544,8.09,0.12,0
2S1P 122mA discharge,545,8.09,0.122,0
2S1P 122mA discharge,546,8.09,0.122,0
2S1P 122mA discharge,547,8.09,0.122,0
2S1P 122mA discharge,548,8.09,0.122,0
2S1P 122mA discharge,549,8.09,0.12,0
2S1P 122mA discharge,550,8.09,0.122,0
2S1P 122mA discharge,551,8.09,0.122,0
2S1P 122mA discharge,552,8.09,0.122,0
2S1P 122mA discharge,553,8.09,0.122,0
2S1P 122mA discharge,554,8.09,0.12,0
2S1P 122mA discharge,555,8.09,0.122,0
2S1P 122mA discharge,556,8.09,0.122,0
2S1P 122mA discharge,557,8.09,0.124,0
2S1P 122mA discharge,558,8.09,0.122,0
2S1P 122mA discharge,559,8.09,0.12,0
2S1P 122mA discharge,560,8.09,0.122,0
2S1P 122mA discharge,561,8.09,0.124,0
2S1P 122mA discharge,562,8.09,0.122,0
2S1P 122mA discharge,563,8.09,0.122,0
2S1P 122mA discharge,564,8.09,0.12,0
2S1P 122mA discharge,565,8.09,0.122,0
2S1P 122mA discharge,566,8.09,0.122,0
2S1P 122mA discharge,567,8.09,0.124,0
2S1P 122mA discharge,568,8.09,0.122,0
2S1P 122mA discharge,569,8.09,0.12,0
2S1P 122mA discharge,570,8.09,0.122,0
2S1P 122mA discharge,571,8.09,0.124,0
2S1P 122mA discharge,572,8.09,0.122,0
2S1P 122mA discharge,573,8.09,0.122,0
2S1P 122mA discharge,574,8.09,0.122,0
2S1P 122mA discharge,575,8.09,0.12,0
2S1P 122mA discharge,576,8.09,0.122,0
2S1P 122mA discharge,577,8.09,0.122,0
