"Date","Time","Test Total Time",,
02/18/15,15:25:16,(hh:mm:ss): 5:01:56,,
,,,,
"Rated Capacity","Tested Capacity",,,
1.00 Ah,2.52 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.92,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 2 cell .5amp discharge",322,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",323,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",324,7.99,0.499,21.35
"Artoo pack 2 cell .5amp discharge",325,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",326,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",327,7.99,0.498,21.35
"Artoo pack 2 cell .5amp discharge",328,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",329,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",330,7.99,0.499,21.35
"Artoo pack 2 cell .5amp discharge",331,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",332,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",333,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",334,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",335,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",336,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",337,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",338,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",339,7.99,0.499,21.35
"Artoo pack 2 cell .5amp discharge",340,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",341,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",342,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",343,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",344,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",345,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",346,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",347,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",348,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",349,7.99,0.501,21.35
"Artoo pack 2 cell .5amp discharge",350,7.99,0.498,21.36
"Artoo pack 2 cell .5amp discharge",351,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",352,7.98,0.499,21.36
"Artoo pack 2 cell .5amp discharge",353,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",354,7.99,0.501,21.36
"Artoo pack 2 cell .5amp discharge",355,7.99,0.499,21.36
"Artoo pack 2 cell .5amp discharge",356,7.98,0.499,21.36
"Artoo pack 2 cell .5amp discharge",357,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",358,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",359,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",360,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",361,7.98,0.499,21.36
"Artoo pack 2 cell .5amp discharge",362,7.98,0.499,21.36
"Artoo pack 2 cell .5amp discharge",363,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",364,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",365,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",366,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",367,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",368,7.98,0.499,21.36
"Artoo pack 2 cell .5amp discharge",369,7.98,0.501,21.37
"Artoo pack 2 cell .5amp discharge",370,7.98,0.501,21.37
"Artoo pack 2 cell .5amp discharge",371,7.98,0.501,21.37
"Artoo pack 2 cell .5amp discharge",372,7.98,0.499,21.37
"Artoo pack 2 cell .5amp discharge",373,7.98,0.501,21.37
"Artoo pack 2 cell .5amp discharge",374,7.98,0.499,21.37
"Artoo pack 2 cell .5amp discharge",375,7.98,0.501,21.37
"Artoo pack 2 cell .5amp discharge",376,7.98,0.501,21.36
"Artoo pack 2 cell .5amp discharge",377,7.98,0.501,21.37
